min_train_loss=0.203, at batch_size=2048, rnn_size=500, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.194, at batch_size=2048, rnn_size=500, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.178, at batch_size=2048, rnn_size=500, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.965, at batch_size=4096, rnn_size=200, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.751, at batch_size=4096, rnn_size=200, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.559, at batch_size=4096, rnn_size=200, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.370, at batch_size=4096, rnn_size=200, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.774, at batch_size=4096, rnn_size=200, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.557, at batch_size=4096, rnn_size=200, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.461, at batch_size=4096, rnn_size=200, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.251, at batch_size=4096, rnn_size=200, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.661, at batch_size=4096, rnn_size=200, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.528, at batch_size=4096, rnn_size=200, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.413, at batch_size=4096, rnn_size=200, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.240, at batch_size=4096, rnn_size=200, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.406, at batch_size=4096, rnn_size=300, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.317, at batch_size=4096, rnn_size=300, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.245, at batch_size=4096, rnn_size=300, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.196, at batch_size=4096, rnn_size=300, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.343, at batch_size=4096, rnn_size=300, embed_dim=200, keep_prob=0.7, num_layers=1
min_train_loss=0.283, at batch_size=4096, rnn_size=300, embed_dim=200, keep_prob=0.8, num_layers=1
min_train_loss=0.231, at batch_size=4096, rnn_size=300, embed_dim=200, keep_prob=0.9, num_layers=1
min_train_loss=0.190, at batch_size=4096, rnn_size=300, embed_dim=200, keep_prob=1, num_layers=1
min_train_loss=0.298, at batch_size=4096, rnn_size=300, embed_dim=300, keep_prob=0.7, num_layers=1
min_train_loss=0.278, at batch_size=4096, rnn_size=300, embed_dim=300, keep_prob=0.8, num_layers=1
min_train_loss=0.224, at batch_size=4096, rnn_size=300, embed_dim=300, keep_prob=0.9, num_layers=1
min_train_loss=0.187, at batch_size=4096, rnn_size=300, embed_dim=300, keep_prob=1, num_layers=1
min_train_loss=0.290, at batch_size=4096, rnn_size=400, embed_dim=100, keep_prob=0.7, num_layers=1
min_train_loss=0.265, at batch_size=4096, rnn_size=400, embed_dim=100, keep_prob=0.8, num_layers=1
min_train_loss=0.224, at batch_size=4096, rnn_size=400, embed_dim=100, keep_prob=0.9, num_layers=1
min_train_loss=0.186, at batch_size=4096, rnn_size=400, embed_dim=100, keep_prob=1, num_layers=1
min_train_loss=0.273, at batch_size=4096, rnn_size=400, embed_dim=200, keep_prob=0.7, num_layers=1
